"","Player","Age","Team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","Season","Player.additional","College","height","weight","Pos_C","Pos_F","Pos_G","Pos_SG"
"3943","Ramon Sessions",0.423076923076923,"WAS",0.964285714285714,0.0602409638554217,0.46046511627907,0.278688524590164,0.264705882352941,0.473,0.0754716981132076,0.106060606060606,0.324,0.272727272727273,0.265765765765766,0.507,0.335333333333333,0.254901960784314,0.284552845528455,0.756,0.0555555555555556,0.192982456140351,0.15625,0.247863247863248,0.2,0.027027027027027,0.245614035087719,0.2,0.274238227146814,NA,"15-16","sessira01","Nevada-Reno",0.4,0.251101321585903,0,0,1,0
"3944","Carl Landry",0.538461538461538,"PHI",0.416666666666667,0.144578313253012,0.355813953488372,0.319672131147541,0.253676470588235,0.556,0.0377358490566038,0.0303030303030303,0.462,0.336363636363636,0.297297297297297,0.561,0.378666666666667,0.186274509803922,0.203252032520325,0.736,0.259259259259259,0.236842105263158,0.25625,0.0769230769230769,0.1,0.0810810810810811,0.105263157894737,0.316666666666667,0.271468144044321,NA,"15-16","landrca01","Purdue",0.64,0.506607929515419,0,1,0,0
"3945","Gary Neal",0.5,"WAS",0.464285714285714,0.0240963855421687,0.458139534883721,0.311475409836066,0.297794117647059,0.465,0.188679245283019,0.189393939393939,0.41,0.254545454545455,0.252252252252252,0.489,0.352,0.117647058823529,0.113821138211382,0.855,0.0555555555555556,0.157894736842105,0.13125,0.102564102564103,0.166666666666667,0,0.12280701754386,0.233333333333333,0.271468144044321,NA,"15-16","nealga01","Towson",0.44,0.33920704845815,0,0,0,1
"3946","Hollis Thompson",0.230769230769231,"PHI",0.904761904761905,0.204819277108434,0.63953488372093,0.286885245901639,0.323529411764706,0.397,0.358490566037736,0.386363636363636,0.38,0.145454545454545,0.166666666666667,0.42,0.338,0.0882352941176471,0.0975609756097561,0.719,0.12962962962963,0.245614035087719,0.21875,0.111111111111111,0.166666666666667,0.0810810810810811,0.175438596491228,0.4,0.271468144044321,NA,"15-16","thompho01","Georgetown",0.6,0.3215859030837,0,0,0,1
"3947","Dion Waiters",0.230769230769231,"OKC",0.916666666666667,0.180722891566265,0.630232558139535,0.295081967213115,0.334558823529412,0.399,0.207547169811321,0.234848484848485,0.358,0.227272727272727,0.27027027027027,0.421,0.306666666666667,0.137254901960784,0.16260162601626,0.713,0.0925925925925926,0.184210526315789,0.1625,0.170940170940171,0.333333333333333,0.0540540540540541,0.263157894736842,0.3,0.271468144044321,NA,"15-16","waitedi01","Syracuse",0.44,0.383259911894273,0,0,0,1
"3948","Marcus Thornton",0.384615384615385,"2TM",0.714285714285714,0.0963855421686747,0.411627906976744,0.286885245901639,0.327205882352941,0.399,0.283018867924528,0.333333333333333,0.337,0.181818181818182,0.202702702702703,0.46,0.321333333333333,0.107843137254902,0.105691056910569,0.848,0.111111111111111,0.157894736842105,0.15625,0.11965811965812,0.266666666666667,0.027027027027027,0.140350877192982,0.25,0.268698060941828,NA,"15-16","thornma01","Louisiana State",0.44,0.317180616740088,0,0,0,1
"3949","Jerami Grant",0.115384615384615,"PHI",0.904761904761905,0.626506024096386,0.611627906976744,0.270491803278689,0.286764705882353,0.419,0.0943396226415094,0.143939393939394,0.24,0.254545454545455,0.265765765765766,0.477,0.298666666666667,0.274509803921569,0.341463414634146,0.658,0.240740740740741,0.298245614035088,0.29375,0.153846153846154,0.233333333333333,0.432432432432432,0.245614035087719,0.466666666666667,0.268698060941828,NA,"15-16","grantje01","Syracuse",0.6,0.33920704845815,0,1,0,0
"3950","Courtney Lee",0.461538461538462,"2TM",0.928571428571429,0.783132530120482,0.674418604651163,0.30327868852459,0.297794117647059,0.454,0.188679245283019,0.204545454545455,0.378,0.236363636363636,0.238738738738739,0.493,0.345333333333333,0.127450980392157,0.121951219512195,0.839,0.0740740740740741,0.192982456140351,0.1625,0.145299145299145,0.366666666666667,0.108108108108108,0.157894736842105,0.283333333333333,0.265927977839335,NA,"15-16","leeco01","Western Kentucky",0.48,0.295154185022026,0,0,0,1
"3951","Raymond Felton",0.5,"DAL",0.94047619047619,0.373493975903614,0.625581395348837,0.286885245901639,0.3125,0.406,0.150943396226415,0.204545454545455,0.282,0.245454545454545,0.265765765765766,0.463,0.3,0.186274509803922,0.178861788617886,0.847,0.0925925925925926,0.245614035087719,0.2,0.307692307692308,0.3,0.0540540540540541,0.263157894736842,0.3,0.263157894736842,NA,"15-16","feltora01","North Carolina",0.32,0.317180616740088,0,0,1,0
"3952","Doug McDermott",0.230769230769231,"CHI",0.952380952380952,0.0481927710843374,0.523255813953488,0.295081967213115,0.294117647058824,0.452,0.264150943396226,0.242424242424242,0.425,0.2,0.216216216216216,0.47,0.358,0.0882352941176471,0.0813008130081301,0.857,0.0925925925925926,0.175438596491228,0.15,0.0598290598290598,0.0666666666666667,0.027027027027027,0.12280701754386,0.266666666666667,0.260387811634349,NA,"15-16","mcderdo01","Creighton",0.6,0.405286343612335,0,1,0,0
"3953","Kevin Martin",0.538461538461538,"2TM",0.642857142857143,0.156626506024096,0.451162790697674,0.229508196721311,0.279411764705882,0.372,0.169811320754717,0.189393939393939,0.36,0.172727272727273,0.22972972972973,0.378,0.287333333333333,0.274509803921569,0.252032520325203,0.89,0.0555555555555556,0.149122807017544,0.125,0.094017094017094,0.166666666666667,0.027027027027027,0.175438596491228,0.25,0.257617728531856,NA,"15-16","martike02","Western Carolina",0.56,0.290748898678414,0,0,0,1
"3954","Ian Mahinmi",0.423076923076923,"IND",0.833333333333333,0.855421686746988,0.583720930232558,0.30327868852459,0.231617647058824,0.589,0,0,NA,0.336363636363636,0.283783783783784,0.589,0.392666666666667,0.186274509803922,0.260162601626016,0.587,0.351851851851852,0.456140350877193,0.44375,0.128205128205128,0.3,0.297297297297297,0.245614035087719,0.516666666666667,0.257617728531856,NA,"15-16","mahinia01","None",0.72,0.515418502202643,1,0,0,0
"3955","Derrick Williams",0.230769230769231,"NYK",0.94047619047619,0.108433734939759,0.404651162790698,0.262295081967213,0.261029411764706,0.45,0.113207547169811,0.143939393939394,0.293,0.236363636363636,0.234234234234234,0.506,0.325333333333333,0.235294117647059,0.260162601626016,0.758,0.111111111111111,0.271929824561404,0.23125,0.0769230769230769,0.133333333333333,0.027027027027027,0.140350877192982,0.15,0.257617728531856,NA,"15-16","willide02","Arizona",0.6,0.47136563876652,0,1,0,0
"3956","Jordan Farmar",0.423076923076923,"MEM",0.130952380952381,0.120481927710843,0.553488372093023,0.286885245901639,0.305147058823529,0.42,0.245283018867925,0.287878787878788,0.356,0.2,0.207207207207207,0.473,0.333333333333333,0.0784313725490196,0.0650406504065041,1,0.0555555555555556,0.157894736842105,0.13125,0.264957264957265,0.433333333333333,0.0540540540540541,0.263157894736842,0.3,0.254847645429363,NA,"15-16","farmajo01","UCLA",0.36,0.20704845814978,0,0,1,0
"3957","Aaron Gordon",0.0769230769230769,"ORL",0.916666666666667,0.44578313253012,0.544186046511628,0.286885245901639,0.272058823529412,0.473,0.0943396226415094,0.136363636363636,0.296,0.272727272727273,0.252252252252252,0.531,0.339333333333333,0.166666666666667,0.203252032520325,0.668,0.37037037037037,0.394736842105263,0.40625,0.136752136752137,0.266666666666667,0.189189189189189,0.140350877192982,0.333333333333333,0.254847645429363,NA,"15-16","gordoaa01","Arizona",0.64,0.383259911894273,0,1,0,0
"3958","Kyle Korver",0.615384615384615,"ATL",0.94047619047619,0.963855421686747,0.686046511627907,0.278688524590164,0.283088235294118,0.435,0.377358490566038,0.378787878787879,0.398,0.127272727272727,0.121621621621622,0.502,0.375333333333333,0.0588235294117647,0.056910569105691,0.833,0.037037037037037,0.271929824561404,0.20625,0.17948717948718,0.266666666666667,0.108108108108108,0.210526315789474,0.333333333333333,0.254847645429363,NA,"15-16","korveky01","Creighton",0.56,0.348017621145374,0,0,0,1
"3959","Rudy Gobert",0.192307692307692,"UTA",0.714285714285714,0.72289156626506,0.725581395348837,0.262295081967213,0.213235294117647,0.559,0,0,NA,0.290909090909091,0.261261261261261,0.559,0.372666666666667,0.254901960784314,0.373983739837398,0.569,0.62962962962963,0.657894736842105,0.6875,0.128205128205128,0.233333333333333,0.594594594594595,0.333333333333333,0.45,0.25207756232687,"DPOY-7","15-16","goberru01","None",0.8,0.493392070484582,1,0,0,0
"3960","Mason Plumlee",0.269230769230769,"POR",0.964285714285714,0.987951807228916,0.57906976744186,0.270491803278689,0.231617647058824,0.516,0,0,0,0.3,0.283783783783784,0.52,0.344,0.254901960784314,0.333333333333333,0.642,0.462962962962963,0.456140350877193,0.48125,0.239316239316239,0.266666666666667,0.27027027027027,0.333333333333333,0.516666666666667,0.25207756232687,NA,"15-16","plumlma01","Duke",0.72,0.449339207048458,1,0,0,0
"3961","Marcus Smart",0.115384615384615,"BOS",0.714285714285714,0.120481927710843,0.623255813953488,0.245901639344262,0.319852941176471,0.348,0.188679245283019,0.303030303030303,0.253,0.181818181818182,0.211711711711712,0.427,0.27,0.205882352941176,0.219512195121951,0.777,0.222222222222222,0.254385964912281,0.2625,0.256410256410256,0.5,0.0810810810810811,0.228070175438596,0.5,0.25207756232687,NA,"15-16","smartma01","Oklahoma State",0.44,0.383259911894273,0,0,1,0
"3962","Alex Len",0.153846153846154,"PHO",0.916666666666667,0.55421686746988,0.530232558139535,0.278688524590164,0.294117647058824,0.423,0,0.00757575757575758,0.143,0.309090909090909,0.355855855855856,0.426,0.282666666666667,0.215686274509804,0.252032520325203,0.728,0.425925925925926,0.464912280701754,0.475,0.102564102564103,0.166666666666667,0.216216216216216,0.333333333333333,0.483333333333333,0.249307479224377,NA,"15-16","lenal01","Maryland",0.8,0.559471365638767,1,0,0,0
"3963","Archie Goodwin",0.115384615384615,"PHO",0.666666666666667,0.156626506024096,0.441860465116279,0.254098360655738,0.272058823529412,0.417,0.0754716981132076,0.128787878787879,0.232,0.245454545454545,0.256756756756757,0.474,0.296,0.225490196078431,0.276422764227642,0.674,0.0925925925925926,0.175438596491228,0.15625,0.17948717948718,0.166666666666667,0.0540540540540541,0.31578947368421,0.25,0.246537396121884,NA,"15-16","goodwar01","Kentucky",0.48,0.295154185022026,0,0,1,0
"3964","Gerald Green",0.461538461538462,"MIA",0.80952380952381,0.168674698795181,0.513953488372093,0.270491803278689,0.3125,0.392,0.226415094339623,0.287878787878788,0.323,0.190909090909091,0.211711711711712,0.446,0.308666666666667,0.0980392156862745,0.105691056910569,0.783,0.0740740740740741,0.175438596491228,0.15,0.0683760683760684,0.2,0.0810810810810811,0.12280701754386,0.3,0.246537396121884,NA,"15-16","greenge01","None",0.56,0.317180616740088,0,0,0,1
"3965","Austin Rivers",0.192307692307692,"LAC",0.785714285714286,0.0843373493975904,0.497674418604651,0.278688524590164,0.283088235294118,0.438,0.169811320754717,0.212121212121212,0.335,0.218181818181818,0.220720720720721,0.495,0.332,0.117647058823529,0.138211382113821,0.681,0.0555555555555556,0.140350877192982,0.11875,0.128205128205128,0.233333333333333,0.027027027027027,0.157894736842105,0.333333333333333,0.246537396121884,NA,"15-16","riverau01","Duke",0.44,0.295154185022026,0,0,0,1
"3966","Rodney Stuckey",0.423076923076923,"IND",0.678571428571429,0.0120481927710843,0.5,0.262295081967213,0.279411764705882,0.413,0.0566037735849057,0.106060606060606,0.241,0.254545454545455,0.279279279279279,0.453,0.290666666666667,0.225490196078431,0.219512195121951,0.829,0.0555555555555556,0.210526315789474,0.16875,0.205128205128205,0.233333333333333,0.027027027027027,0.228070175438596,0.216666666666667,0.246537396121884,NA,"15-16","stuckro01","Eastern Washington",0.48,0.317180616740088,0,0,1,0
"3967","Jordan Hill",0.384615384615385,"IND",0.857142857142857,0.132530120481928,0.469767441860465,0.311475409836066,0.275735294117647,0.506,0,0,0,0.345454545454545,0.337837837837838,0.507,0.337333333333333,0.117647058823529,0.138211382113821,0.712,0.388888888888889,0.350877192982456,0.3875,0.102564102564103,0.166666666666667,0.135135135135135,0.228070175438596,0.35,0.243767313019391,NA,"15-16","hilljo01","Arizona",0.68,0.449339207048458,1,0,0,0
