Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
409,James Jones,29,MIA,SF,36,6,14,1.2,3.3,0.361,1,2.5,0.411,0.2,0.8,0.207,0.517,0.6,0.8,0.821,0.1,1.1,1.3,0.5,0.3,0.1,0.3,1.3,4.1,
410,Joel Przybilla,30,POR,C,30,9,22.7,1.5,2.9,0.523,0,0,,1.5,2.9,0.523,0.523,1.1,1.7,0.647,2.4,5.5,7.9,0.3,0.3,1.4,1.3,3.2,4.1,
411,Jermaine Taylor,23,HOU,SG,31,4,9.8,1.5,3.8,0.378,0.2,0.7,0.227,1.3,3.1,0.412,0.399,1.1,1.5,0.717,0.7,0.8,1.5,0.5,0.3,0.1,0.6,0.5,4.1,
412,Jawad Williams,26,CLE,PG,54,6,13.7,1.5,3.8,0.393,0.6,1.7,0.323,0.9,2.1,0.451,0.466,0.6,0.8,0.711,0.3,1.2,1.5,0.6,0.2,0.1,0.3,1.4,4.1,
413,Coby Karl,26,2TM,SG,7,1,16.1,1.6,4.6,0.344,0.3,1.6,0.182,1.3,3,0.429,0.375,0.6,0.9,0.667,0.6,2,2.6,2.1,0.4,0.1,1.4,2,4,
414,Coby Karl,26,CLE,SG,3,0,1.7,0,0,,0,0,,0,0,,,0,0,,0,0.7,0.7,0,0,0,1.3,0,0,
415,Coby Karl,26,GSW,SF,4,1,27,2.8,8,0.344,0.5,2.8,0.182,2.3,5.3,0.429,0.375,1,1.5,0.667,1,3,4,3.8,0.8,0.3,1.5,3.5,7,
416,Chucky Atkins,35,DET,PG,40,11,16.1,1.4,3.9,0.363,0.6,1.8,0.301,0.9,2.1,0.417,0.433,0.6,0.7,0.926,0.1,0.6,0.7,2.3,0.4,0,0.8,1.3,4,
417,Josh Boone,25,NJN,PF,63,28,16.6,1.9,3.5,0.525,0,0,,1.9,3.5,0.525,0.525,0.3,0.9,0.328,2,3,5,0.5,0.5,0.8,0.6,1.8,4,
418,Ryan Bowen,34,OKC,SF,1,0,8,1,1,1,0,0,,1,1,1,1,2,2,1,1,1,2,0,1,0,0,2,4,
419,Solomon Jones,25,IND,C,52,2,13,1.5,3.4,0.443,0,0.1,0,1.5,3.3,0.451,0.443,1,1.4,0.718,1,1.8,2.8,0.6,0.3,0.7,0.8,2.4,4,
420,Leon Powe,26,CLE,SF,20,2,11.8,1.1,2.5,0.429,0,0,,1.1,2.5,0.429,0.429,1.9,3.2,0.587,1,2.1,3.1,0,0.3,0.1,0.6,1.8,4,
421,Mike Wilks,30,OKC,PG,4,0,14.8,1.5,3,0.5,0.5,0.8,0.667,1,2.3,0.444,0.583,0.5,1,0.5,0.3,0.8,1,1,0,0,1,1.3,4,
422,Dante Cunningham,22,POR,PF,63,2,11.2,1.7,3.4,0.495,0,0,0,1.7,3.4,0.5,0.495,0.5,0.8,0.646,0.9,1.7,2.5,0.2,0.4,0.3,0.2,1.5,3.9,
423,James Johnson,22,CHI,PF,65,11,11.6,1.5,3.2,0.452,0.2,0.7,0.326,1.2,2.5,0.488,0.488,0.8,1.1,0.729,0.5,1.4,2,0.7,0.3,0.7,1,1.9,3.9,
424,Ian Mahinmi,23,SAS,C,26,0,6.3,1.3,2.1,0.636,0,0,,1.3,2.1,0.636,0.636,1.2,1.8,0.66,0.5,1.5,2,0.1,0.1,0.3,0.6,1.2,3.9,
425,Rasho Nesterović,33,TOR,C,42,8,9.8,1.9,3.5,0.544,0,0,,1.9,3.5,0.544,0.544,0,0.1,0.2,0.9,1.2,2.1,0.6,0.2,0.4,0.4,1.3,3.9,
426,Julian Wright,22,NOH,SF,68,14,12.8,1.7,3.4,0.5,0,0.1,0.333,1.7,3.3,0.504,0.504,0.4,0.6,0.61,0.9,1.3,2.1,0.6,0.4,0.3,0.6,0.7,3.8,
427,Eddy Curry,27,NYK,C,7,0,8.9,1.1,3,0.381,0,0,,1.1,3,0.381,0.381,1.4,2.4,0.588,0.6,1.3,1.9,0,0,0.1,1.9,1.9,3.7,
428,Sasha Pavlović,26,MIN,SF,71,0,12.4,1.5,4.2,0.363,0.5,1.7,0.297,1,2.6,0.407,0.422,0.1,0.4,0.385,0.2,1.5,1.6,0.8,0.3,0.1,0.7,1.2,3.7,
429,Shelden Williams,26,BOS,PF,54,0,11.1,1.2,2.2,0.521,0,0,0,1.2,2.2,0.525,0.521,1.4,1.8,0.765,0.9,1.8,2.7,0.4,0.2,0.4,0.6,1.6,3.7,
430,Theo Ratliff,36,2TM,C,49,29,16.5,1.4,3.1,0.461,0,0,,1.4,3.1,0.461,0.461,0.8,1,0.76,1.2,2,3.2,0.5,0.2,1.2,0.8,1.8,3.6,
431,Theo Ratliff,36,SAS,C,21,3,8.7,0.8,1.7,0.444,0,0,,0.8,1.7,0.444,0.444,0.1,0.2,0.5,0.7,1.2,1.9,0.4,0.1,0.9,0.8,1.3,1.6,
432,Theo Ratliff,36,CHA,C,28,26,22.3,1.9,4.1,0.466,0,0,,1.9,4.1,0.466,0.466,1.3,1.6,0.783,1.6,2.6,4.2,0.6,0.3,1.5,0.9,2.1,5.1,
433,Marcin Gortat,25,ORL,C,81,0,13.4,1.5,2.8,0.533,0,0,0,1.5,2.8,0.54,0.533,0.6,0.9,0.68,1.3,2.9,4.2,0.2,0.2,0.9,0.6,1.7,3.6,
434,Ime Udoka,32,SAC,SG,69,2,13.7,1.3,3.5,0.378,0.4,1.3,0.286,0.9,2.2,0.433,0.432,0.6,0.8,0.737,0.7,2,2.8,0.8,0.5,0.1,0.6,1.2,3.6,
435,Jamaal Tinsley,31,MEM,PG,38,1,15.5,1.4,3.7,0.371,0.2,1,0.179,1.2,2.7,0.446,0.396,0.6,0.7,0.815,0.3,1.4,1.7,2.8,0.9,0.1,1.7,1.8,3.5,
436,Alando Tucker,25,2TM,SF,15,0,6.4,1.1,2.6,0.436,0.1,0.5,0.143,1.1,2.1,0.5,0.449,1.1,1.4,0.762,0.4,0.3,0.7,0.3,0,0,0.3,0.4,3.4,
437,Alando Tucker,25,PHO,SF,11,0,6.5,1.2,2.7,0.433,0.1,0.6,0.143,1.1,2.1,0.522,0.45,1.5,1.9,0.762,0.5,0.2,0.6,0.3,0,0,0.4,0.5,3.9,
438,Alando Tucker,25,MIN,SF,4,0,6.3,1,2.3,0.444,0,0,,1,2.3,0.444,0.444,0,0,,0.3,0.5,0.8,0.3,0,0,0.3,0.3,2,
439,Eduardo Nájera,33,2TM,PF,46,5,14.9,1.3,3.2,0.425,0.4,1.4,0.297,0.9,1.8,0.524,0.49,0.3,0.5,0.583,0.7,1.8,2.5,0.6,0.6,0.3,0.5,2,3.4,
440,Eduardo Nájera,33,NJN,PF,13,2,15.7,1.5,4.1,0.377,0.2,1.3,0.176,1.3,2.8,0.472,0.406,0.5,0.9,0.5,0.9,2,2.9,1.2,0.7,0.2,0.9,2.5,3.8,
441,Eduardo Nájera,33,DAL,PF,33,3,14.6,1.3,2.8,0.452,0.5,1.4,0.34,0.8,1.4,0.565,0.538,0.2,0.4,0.667,0.7,1.7,2.3,0.4,0.5,0.4,0.4,1.8,3.3,
442,Reggie Evans,29,TOR,PF,28,1,11.1,1.2,2.5,0.493,0,0,,1.2,2.5,0.493,0.493,1,2.1,0.45,1.1,2.7,3.8,0.3,0.5,0.1,0.8,1.6,3.4,
443,Johan Petro,24,DEN,C,36,16,12.1,1.5,2.8,0.535,0,0,0,1.5,2.8,0.54,0.535,0.4,0.6,0.667,0.9,2.7,3.6,0.4,0.3,0.4,0.6,2.2,3.4,
444,Jason Smith,23,PHI,PF,56,2,11.8,1.3,3.1,0.431,0.2,0.5,0.345,1.2,2.6,0.448,0.46,0.5,0.8,0.69,1,1.4,2.4,0.6,0.4,0.5,0.6,2,3.4,
445,Aaron Gray,25,2TM,C,32,0,9.7,1.3,2.6,0.512,0,0,,1.3,2.6,0.512,0.512,0.6,0.9,0.714,1.4,1.9,3.3,0.7,0.3,0.3,0.6,1.7,3.3,
446,Aaron Gray,25,CHI,C,8,0,6.3,1,2.6,0.381,0,0,,1,2.6,0.381,0.381,0.3,0.9,0.286,0.6,1.4,2,0.3,0,0,0.1,1.3,2.3,
447,Aaron Gray,25,NOH,C,24,0,10.9,1.4,2.5,0.557,0,0,,1.4,2.5,0.557,0.557,0.8,0.9,0.857,1.7,2.1,3.8,0.8,0.4,0.5,0.7,1.8,3.6,
448,Derrick Brown,22,CHA,SF,57,0,9.4,1.2,2.6,0.463,0,0.1,0.286,1.2,2.5,0.471,0.469,0.8,1.3,0.667,0.5,0.8,1.4,0.3,0.4,0.2,0.3,0.9,3.3,
449,Kwame Brown,27,DET,C,48,1,13.8,1.3,2.6,0.5,0,0,0,1.3,2.6,0.504,0.5,0.7,2,0.337,1.1,2.6,3.7,0.5,0.3,0.3,0.9,1.9,3.3,
450,Anthony Carter,34,DEN,PG,54,7,15.9,1.4,3.4,0.42,0.3,1.2,0.27,1.1,2.2,0.5,0.467,0.2,0.2,0.846,0.3,1.3,1.6,3,0.7,0.2,1.1,1.3,3.3,
451,Sundiata Gaines,23,UTA,PG,32,0,6.8,1.2,2.6,0.463,0.2,0.8,0.269,1,1.8,0.554,0.506,0.7,1.4,0.5,0.2,0.7,0.9,1.2,0.4,0,0.4,0.5,3.3,
452,Sean May,25,SAC,C,37,4,8.9,1.4,3,0.459,0,0.1,0,1.4,2.9,0.477,0.459,0.6,0.9,0.656,0.5,1.4,1.9,0.5,0.3,0.2,0.5,1.2,3.3,
453,Etan Thomas,31,OKC,C,23,1,14,1.3,3,0.456,0,0,,1.3,3,0.456,0.456,0.6,1,0.591,0.8,2,2.8,0,0.2,0.7,0.8,1.7,3.3,
454,Nathan Jawai,23,MIN,C,39,2,10.6,1.3,2.8,0.441,0,0,0,1.3,2.8,0.445,0.441,0.7,1,0.684,1.3,1.4,2.7,0.6,0.3,0.2,0.7,1.5,3.2,
455,Jeff Teague,21,ATL,PG,71,3,10.1,1.3,3.2,0.396,0.1,0.5,0.219,1.2,2.7,0.426,0.412,0.6,0.7,0.837,0.1,0.9,0.9,1.7,0.5,0.2,0.7,1.2,3.2,
456,Jeff Foster,33,IND,C,16,3,15.9,1.4,2.9,0.478,0,0.1,0,1.4,2.8,0.489,0.478,0.3,0.6,0.556,2.1,2.9,5.1,1.3,0.2,0.3,0.9,2.8,3.1,
