Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Tara Williams,PHO,G,12,84,12,0,84,16,39,0.41,5,11,0.455,11,28,0.393,0,0,,1,8,3,3,0,4,9,37
Kim Williams,UTA,G,28,608,28,10,608,88,229,0.384,9,34,0.265,79,195,0.405,41,53,0.774,34,81,60,38,7,57,83,226
Debra Williams,CHA,G,10,116,10,2,116,11,43,0.256,4,18,0.222,7,25,0.28,1,2,0.5,3,13,9,2,0,6,9,27
Jamila Wideman,LAS,G,28,633,28,14,633,25,106,0.236,7,36,0.194,18,70,0.257,27,34,0.794,16,57,103,24,1,51,44,84
Sue Wicks,NYL,F,28,332,28,0,332,38,107,0.355,2,7,0.286,36,100,0.36,22,33,0.667,36,94,29,17,18,46,52,100
Umeki Webb,PHO,G-F,28,775,28,17,775,47,158,0.297,1,15,0.067,46,143,0.322,46,67,0.687,42,117,68,68,8,55,92,141
Teresa Weatherspoon*,NYL,G,28,924,28,28,924,64,137,0.467,3,35,0.086,61,102,0.598,65,100,0.65,25,116,173,85,2,94,72,196
Tia Jackson,PHO,F,26,320,26,6,320,25,73,0.342,3,8,0.375,22,65,0.338,21,25,0.84,26,57,26,23,8,37,31,74
Danielle Viglione,SAC,G,7,30,7,0,30,3,11,0.273,1,4,0.25,2,7,0.286,0,0,,1,4,1,1,0,0,5,7
Molly Tuter,PHO,G,3,3,3,0,3,0,2,0,0,0,,0,2,0,0,0,,0,0,0,0,0,0,0,0
Trena Trice,NYL,F-C,28,340,28,0,340,51,92,0.554,2,8,0.25,49,84,0.583,30,45,0.667,32,68,2,9,9,40,65,134
Chantel Tremitiere,SAC,G,28,1051,28,28,1051,69,196,0.352,7,37,0.189,62,159,0.39,67,90,0.744,25,114,135,54,1,122,80,212
Penny Toler,LAS,G,28,907,28,28,907,144,338,0.426,7,38,0.184,137,300,0.457,73,87,0.839,25,94,143,36,3,107,66,368
Michele Timms*,PHO,G,27,966,27,27,966,99,295,0.336,49,142,0.345,50,153,0.327,79,104,0.76,23,99,135,71,3,80,95,326
Tina Thompson*,HOU,F,28,885,28,28,885,133,318,0.418,37,100,0.37,96,218,0.44,67,80,0.838,67,184,32,21,28,62,107,370
Sheryl Swoopes*,HOU,F-G,9,129,9,0,129,25,53,0.472,4,16,0.25,21,37,0.568,10,14,0.714,6,15,7,7,4,4,5,64
Tora Suber,CHA,G,28,475,28,8,475,40,108,0.37,23,58,0.397,17,50,0.34,28,41,0.683,5,42,56,13,3,51,32,131
Andrea Stinson,CHA,G,28,1011,28,28,1011,177,396,0.447,25,77,0.325,152,319,0.476,60,89,0.674,48,155,124,43,21,99,55,439
Raegan Pebley,UTA,F-C,8,43,8,0,43,5,13,0.385,0,0,,5,13,0.385,2,2,1,4,7,1,1,3,0,3,12
Jenny Boucek,CLE,G,10,112,10,1,112,7,15,0.467,0,3,0,7,12,0.583,4,7,0.571,3,10,9,6,0,22,10,18
Andrea Congreaves,CHA,F-C,28,658,28,16,658,63,126,0.5,18,44,0.409,45,82,0.549,43,56,0.768,40,133,41,16,5,31,52,187
Megan Compain,UTA,G,5,19,5,0,19,2,7,0.286,1,4,0.25,1,3,0.333,0,0,,0,5,2,4,1,6,6,5
Katrina Colleton,LAS,F,28,613,28,14,613,55,126,0.437,9,25,0.36,46,101,0.455,17,30,0.567,25,60,45,35,9,35,46,136
Margold Clark,SAC,F-C,4,46,4,0,46,3,6,0.5,0,1,0,3,5,0.6,1,2,0.5,0,6,1,1,1,2,9,7
Daedra Charles,LAS,F-C,28,282,28,1,282,27,67,0.403,0,1,0,27,66,0.409,10,15,0.667,16,48,12,10,10,14,41,64
Deborah Carter,UTA,G-F,18,286,18,7,286,30,78,0.385,1,7,0.143,29,71,0.408,10,14,0.714,22,49,8,13,1,14,33,71
Latasha Byears,SAC,G-F,28,656,28,19,656,96,209,0.459,1,5,0.2,95,204,0.466,51,69,0.739,87,193,48,39,8,67,98,244
Linda Burgess,LAS,F,28,492,28,6,492,73,135,0.541,1,2,0.5,72,133,0.541,36,49,0.735,46,117,9,20,13,47,46,183
Heidi Burge,LAS,F-C,22,282,22,6,282,32,72,0.444,0,4,0,32,68,0.471,23,45,0.511,23,69,15,12,12,25,52,87
Vicky Bullett,CHA,F,28,875,28,28,875,145,324,0.448,7,23,0.304,138,301,0.458,62,80,0.775,66,178,65,54,55,68,84,359
